date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:23:03	1053/1053	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Oct%202017%2016:53:01%20GMT	http://localhost/robots.txt		(from )
22:23:04	28520/28520	---MC-	200	added ('OK')	text/html	date:Fri,%2006%20Oct%202017%2016:53:02%20GMT	http://localhost/mynewsite/	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/index.html	(from )
22:23:05	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2006%20Oct%202017%2016:53:04%20GMT	http://localhost/mynewsite/xmlrpc.php	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/xmlrpc.php	(from http://localhost/mynewsite/)
22:23:05	152/152	---M--	200	added ('OK')	text/css	etag:%2298-5598de887a1f3%22	http://localhost/mynewsite/wp-content/plugins/tablapad-master/css/tablapad-styles.css?ver=4.8.2	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/wp-content/plugins/tablapad-master/css/tablapad-styles4a41.css	(from http://localhost/mynewsite/)
22:23:05	2915/2915	---M--	200	added ('OK')	text/css	etag:%22b63-558e2ac5d99c5%22	http://localhost/mynewsite/wp-content/plugins/theme-my-login/theme-my-login.css?ver=6.4.9	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/wp-content/plugins/theme-my-login/theme-my-login109c.css	(from http://localhost/mynewsite/)
22:23:06	46364/46364	---M--	200	added ('OK')	text/css	etag:%22b51c-5321565d96000%22	http://localhost/mynewsite/wp-includes/css/dashicons.min.css?ver=4.8.2	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/wp-includes/css/dashicons.min4a41.css	(from http://localhost/mynewsite/)
22:23:07	28620/28620	---M--	200	added ('OK')	text/css	etag:%226fcc-558f6b4a71977%22	http://localhost/mynewsite/wp-content/plugins/menu-icons/includes/library/icon-picker/css/types/font-awesome.min.css?ver=4.6.1	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/wp-content/plugins/menu-icons/includes/library/icon-picker/css/types/font-awesome.min1c9b.css	(from http://localhost/mynewsite/)
22:23:08	815/815	---M--	200	added ('OK')	text/css	etag:%2232f-558f6b4a60fd3%22	http://localhost/mynewsite/wp-content/plugins/menu-icons/css/extra.min.css?ver=0.10.2	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/wp-content/plugins/menu-icons/css/extra.mincf86.css	(from http://localhost/mynewsite/)
22:23:08	1606/1606	---M--	200	added ('OK')	text/css	etag:%22646-558cf0fa2c4c9%22	http://localhost/mynewsite/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.9	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/wp-content/plugins/contact-form-7/includes/css/styles33a6.css	(from http://localhost/mynewsite/)
22:23:08	1612/1612	---M--	200	added ('OK')	application/rss+xml	etag:%22b621d208f66dc2f0b75335ec9f628d21%22	http://localhost/mynewsite/comments/feed/	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/comments/feed/index.html	(from http://localhost/mynewsite/)
22:23:08	1638/1638	---M--	200	added ('OK')	application/rss+xml	etag:%22a9e9c9cbc3ac2f575c9ab744e5296b8c%22	http://localhost/mynewsite/feed/	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/feed/index.html	(from http://localhost/mynewsite/)
22:23:08	1689/1689	---M--	200	added ('OK')	text/css	etag:%22699-558e9b79f1583%22	http://localhost/mynewsite/wp-content/plugins/reviewer/public/assets/css/jquery.nouislider.css?ver=3.6.0	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/wp-content/plugins/reviewer/public/assets/css/jquery.nouislideraf6c.css	(from http://localhost/mynewsite/)
22:23:08	110012/110012	---M--	200	added ('OK')	text/css	etag:%221adbc-558e9b79f196b%22	http://localhost/mynewsite/wp-content/plugins/reviewer/public/assets/css/themes-reviews.css?ver=3.6.0	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/wp-content/plugins/reviewer/public/assets/css/themes-reviewsaf6c.css	(from http://localhost/mynewsite/)
22:23:10	6684/6684	---M--	200	added ('OK')	text/css	etag:%221a1c-558e9b79f213b%22	http://localhost/mynewsite/wp-content/plugins/reviewer/public/assets/css/themes-tables.css?ver=3.6.0	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/wp-content/plugins/reviewer/public/assets/css/themes-tablesaf6c.css	(from http://localhost/mynewsite/)
22:23:10	27812/27812	---M--	200	added ('OK')	text/css	etag:%226ca4-558be1f7d795e%22	http://localhost/mynewsite/wp-content/themes/areview/bootstrap/bootstrap.min.css?ver=1	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/wp-content/themes/areview/bootstrap/bootstrap.min68b3.css	(from http://localhost/mynewsite/)
22:23:11	27967/27967	---M--	200	added ('OK')	text/css	etag:%226d3f-55939e478c063%22	http://localhost/mynewsite/wp-content/themes/areview/style.css?ver=4.8.2	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/wp-content/themes/areview/style4a41.css	(from http://localhost/mynewsite/)
22:23:12	31000/31000	---M--	200	added ('OK')	text/css	etag:%227918-558be1f7e2d11%22	http://localhost/mynewsite/wp-content/themes/areview/fonts/font-awesome.min.css?ver=4.8.2	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/wp-content/themes/areview/fonts/font-awesome.min4a41.css	(from http://localhost/mynewsite/)
22:23:12	12019/12019	---M--	200	added ('OK')	text/css	etag:%222ef3-558d549b3458f%22	http://localhost/mynewsite/wp-content/plugins/rich-reviews/css/rich-reviews.css?ver=4.8.2	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/wp-content/plugins/rich-reviews/css/rich-reviews4a41.css	(from http://localhost/mynewsite/)
22:23:14	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-5333b59e7be00%22	http://localhost/mynewsite/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://localhost/mynewsite/)
22:23:15	5908/5908	---M--	200	added ('OK')	application/javascript	etag:%221714-558e9b79ff42e%22	http://localhost/mynewsite/wp-content/plugins/reviewer/public/assets/js/reviewer.public.min.js?ver=3.6.0	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/wp-content/plugins/reviewer/public/assets/js/reviewer.public.minaf6c.js	(from http://localhost/mynewsite/)
22:23:16	111/111	---M--	200	added ('OK')	application/javascript	etag:%226f-558e2ac5c5971%22	http://localhost/mynewsite/wp-content/plugins/theme-my-login/modules/themed-profiles/themed-profiles.js?ver=4.8.2	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/wp-content/plugins/theme-my-login/modules/themed-profiles/themed-profiles4a41.js	(from http://localhost/mynewsite/)
22:23:16	18030/18030	---M--	200	added ('OK')	application/javascript	etag:%22466e-558e9b79f82e4%22	http://localhost/mynewsite/wp-content/plugins/reviewer/public/assets/js/jquery.nouislider.all.min.js?ver=3.6.0	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/wp-content/plugins/reviewer/public/assets/js/jquery.nouislider.all.minaf6c.js	(from http://localhost/mynewsite/)
22:23:16	221/221	---M--	200	added ('OK')	application/javascript	etag:%22dd-558be1f833a1c%22	http://localhost/mynewsite/wp-content/themes/areview/js/nicescroll-init.js?ver=1	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/wp-content/themes/areview/js/nicescroll-init68b3.js	(from http://localhost/mynewsite/)
22:23:16	656/656	---M--	200	added ('OK')	application/javascript	etag:%22290-558be1f8349bc%22	http://localhost/mynewsite/wp-content/themes/areview/js/scripts.js?ver=1	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/wp-content/themes/areview/js/scripts68b3.js	(from http://localhost/mynewsite/)
22:23:17	2698/2698	---M--	200	added ('OK')	application/javascript	etag:%22a8a-558be1f81da87%22	http://localhost/mynewsite/wp-content/themes/areview/js/jquery.fitvids.js?ver=1	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/wp-content/themes/areview/js/jquery.fitvids68b3.js	(from http://localhost/mynewsite/)
22:23:17	24920/24920	---M--	200	added ('OK')	application/javascript	etag:%226158-558e9b79f6b74%22	http://localhost/mynewsite/wp-content/plugins/reviewer/public/assets/js/jquery.knob.js?ver=3.6.0	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/wp-content/plugins/reviewer/public/assets/js/jquery.knobaf6c.js	(from http://localhost/mynewsite/)
22:23:17	2457/2457	---M--	200	added ('OK')	application/javascript	etag:%22999-558d549b41882%22	http://localhost/mynewsite/wp-content/plugins/rich-reviews/js/rich-reviews.min.js?ver=4.8.2	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/wp-content/plugins/rich-reviews/js/rich-reviews.min4a41.js	(from http://localhost/mynewsite/)
22:23:18	848/848	---M--	200	added ('OK')	text/xml	date:Fri,%2006%20Oct%202017%2016:53:17%20GMT	http://localhost/mynewsite/xmlrpc.php?rsd	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/xmlrpc0db0.php	(from http://localhost/mynewsite/)
22:23:19	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed42e9bdd800%22	http://localhost/mynewsite/wp-includes/wlwmanifest.xml	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/wp-includes/wlwmanifest.xml	(from http://localhost/mynewsite/)
22:23:20	2188/2188	---M--	200	added ('OK')	application/json	date:Fri,%2006%20Oct%202017%2016:53:19%20GMT	http://localhost/mynewsite/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fmynewsite%2F	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/wp-json/oembed/1.0/embeda2c6.json	(from http://localhost/mynewsite/)
22:23:21	2283/2283	---M--	200	added ('OK')	text/xml	date:Fri,%2006%20Oct%202017%2016:53:20%20GMT	http://localhost/mynewsite/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fmynewsite%2F&format=xml	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/wp-json/oembed/1.0/embedac88	(from http://localhost/mynewsite/)
22:23:23	57983/57983	---M--	200	added ('OK')	application/javascript	etag:%22e27f-558be1f82d0a2%22	http://localhost/mynewsite/wp-content/themes/areview/js/jquery.nicescroll.min.js?ver=1	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/wp-content/themes/areview/js/jquery.nicescroll.min68b3.js	(from http://localhost/mynewsite/)
22:23:25	9246/9246	---M--	200	added ('OK')	image/jpeg	etag:%22241e-55970eedd3953%22	http://localhost/mynewsite/wp-content/uploads/2017/09/creview-300x247.jpg	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/wp-content/uploads/2017/09/creview-300x247.jpg	(from http://localhost/mynewsite/)
22:23:26	97184/97184	---M--	200	added ('OK')	application/javascript	etag:%2217ba0-5337a0ff08180%22	http://localhost/mynewsite/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/wp-includes/js/jquery/jqueryb8ff.js	(from http://localhost/mynewsite/)
22:23:26	30356/30356	---M--	200	added ('OK')	image/png	etag:%227694-55970eedf73ac%22	http://localhost/mynewsite/wp-content/uploads/2017/09/Vreviewspriceless.png	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/wp-content/uploads/2017/09/Vreviewspriceless.png	(from http://localhost/mynewsite/)
22:23:27	54041/54041	---MC-	200	added ('OK')	application/json	date:Fri,%2006%20Oct%202017%2016:53:17%20GMT	http://localhost/mynewsite/wp-json/	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/wp-json/index.html	(from http://localhost/mynewsite/)
22:23:28	26969/26969	---MC-	200	added ('OK')	text/html	date:Fri,%2006%20Oct%202017%2016:53:25%20GMT	http://localhost/mynewsite/test-submit/	C:/Users/vikas/Desktop/vreviews/vreviews/localhost/mynewsite/test-submit/index.html	(from http://localhost/mynewsite/)
